x,y,speed,yaw
-1.54,-0.52,1.06,-0.3652
-1.10,-0.69,1.44,-0.3419
-0.66,-0.85,1.73,-0.3168
-0.23,-0.99,1.98,-0.2903
0.20,-1.11,2.19,-0.2630
0.62,-1.23,2.30,-0.2356
1.05,-1.33,2.30,-0.2087
1.48,-1.42,2.30,-0.1830
1.92,-1.50,2.30,-0.1589
2.37,-1.58,2.30,-0.1369
2.83,-1.64,2.30,-0.1186
3.32,-1.70,2.27,-0.1340
3.80,-1.76,2.04,-0.2161
4.26,-1.86,1.80,-0.3862
4.67,-2.03,1.53,-0.6755
4.99,-2.29,1.30,-1.0706
5.20,-2.66,1.38,-1.4469
5.25,-3.13,1.28,-1.8833
5.12,-3.53,0.93,-2.6407
4.78,-3.72,1.19,-3.1380
4.29,-3.72,1.55,-3.3114
3.77,-3.63,1.86,-3.3380
3.30,-3.54,2.02,-3.2446
2.86,-3.49,1.79,-3.0255
2.43,-3.54,1.71,-2.7736
1.97,-3.72,1.94,-2.6869
1.51,-3.94,1.65,-2.7834
1.07,-4.11,1.34,-3.1596
0.68,-4.10,1.01,-3.7861
0.36,-3.86,1.35,-4.0394
0.06,-3.48,1.67,-3.9818
-0.25,-3.14,1.93,-3.8150
-0.60,-2.86,2.15,-3.7079
-0.96,-2.63,2.30,-3.6811
-1.34,-2.40,2.18,-3.7338
-1.72,-2.15,1.96,-3.8522
-2.08,-1.84,1.70,-4.0155
-2.38,-1.48,1.40,-4.2817
-2.54,-1.12,1.07,-4.8021
-2.51,-0.78,0.90,-5.5399
-2.22,-0.51,1.17,-6.1068
-1.65,-0.40,1.59,-6.1068
